Country Name,year,Control of Corruption,Government Effectiveness,Political Stability and Absence of Violence/Terrorism,Regulatory Quality,Rule of Law,Voice and Accountability
Benin,2010,-0.665382147,-0.614182591,0.261260122,-0.401749998,-0.673685908,0.314489126
Benin,2011,-0.605445802,-0.551150143,0.318356365,-0.40187946,-0.658945084,0.166390568
Benin,2012,-0.857918382,-0.530877173,0.364367604,-0.401261717,-0.574936271,0.12448547
Benin,2013,-0.745442808,-0.511948347,0.301189363,-0.415549964,-0.567833364,0.155496389
Benin,2014,-0.669143796,-0.486698359,0.027139762,-0.620842099,-0.485179126,0.264593005
Benin,2015,-0.534361541,-0.651237786,-0.013513958,-0.601894319,-0.53855902,0.294565856
Benin,2016,-0.501190603,-0.597261608,-0.002027171,-0.573481381,-0.612020731,0.408386111
Benin,2017,-0.549611926,-0.672316074,0.030895539,-0.507834852,-0.62827611,0.38114199
Benin,2018,-0.368314892,-0.609943569,-0.141175643,-0.38123408,-0.676403463,0.240166172
Benin,2019,-0.317782849,-0.466742843,-0.41266796,-0.432607293,-0.653755903,0.062789403
Benin,2020,-0.033246532,-0.260536432,-0.425504684,-0.468183726,-0.72832197,-0.070341714
Benin,2021,-0.154652014,-0.206672296,-0.301340491,-0.43148464,-0.593543828,-0.2375402
Cameroon,1996,-1.334984779,-1.080202699,-0.956391931,-1.122349262,-1.441894889,-0.938624918
Cameroon,1998,-1.313288569,-0.826229513,-0.784960151,-0.90652889,-1.138637066,-1.063615322
Cameroon,2000,-1.32529211,-0.823291063,-0.564015806,-0.820246458,-1.192747235,-1.060406923
Cameroon,2002,-1.209111929,-0.911196768,-0.67726481,-1.02413702,-1.265375614,-1.097048998
Cameroon,2003,-0.981341302,-0.838255286,-0.429470658,-0.9727934,-1.163299561,-1.060005665
Cameroon,2004,-1.125436306,-0.805877626,-0.359356344,-0.720635176,-1.173222542,-0.974191248
Cameroon,2005,-1.199409604,-0.928648829,-0.182024568,-0.912781835,-1.190440297,-1.034067273
Cameroon,2006,-1.091455698,-0.970729887,-0.24470523,-0.842229605,-1.16298461,-1.023897529
Cameroon,2007,-1.033044815,-0.849485576,-0.326108962,-0.836638272,-1.185816526,-1.04956615
Cameroon,2008,-1.034228325,-0.823444545,-0.55211091,-0.818746328,-1.10583663,-1.067795634
Cameroon,2009,-1.020551085,-0.850612581,-0.474782139,-0.769573271,-1.130954266,-1.040355802
Cameroon,2010,-1.07531774,-0.900068581,-0.736971438,-0.753017664,-1.079244137,-1.058274269
Cameroon,2011,-1.16692555,-0.891388357,-0.66168797,-0.810016274,-1.080898523,-1.033121347
Cameroon,2012,-1.27243948,-0.90253967,-0.588517427,-0.931122065,-1.042930365,-1.021580935
Cameroon,2013,-1.21758461,-0.922704458,-0.532237291,-0.959768236,-1.058035612,-1.036896467
Cameroon,2014,-1.178454518,-0.810280144,-1.059252381,-0.898471713,-0.89759171,-0.944473267
Cameroon,2015,-1.074164391,-0.800239265,-0.989607453,-0.915610492,-0.982919514,-0.954277456
Cameroon,2016,-1.158264041,-0.782967508,-1.062136889,-0.799411178,-1.04694736,-1.03098774
Cameroon,2017,-1.205515623,-0.826015651,-1.095843077,-0.830922008,-1.038755894,-1.051754713
Cameroon,2018,-1.144107223,-0.822952509,-1.404167533,-0.796862423,-1.08912921,-1.133222699
Cameroon,2019,-1.194020867,-0.83137095,-1.559216738,-0.831786811,-1.125854611,-1.209367275
Cameroon,2020,-1.114790559,-0.900137961,-1.5006181,-0.81543833,-1.15100193,-1.205424547
Cameroon,2021,-1.09271419,-0.875312626,-1.406510592,-0.922730327,-1.097447872,-1.16015625
Cabo Verde,1996,1.143337369,,1.035551429,-0.53226763,1.044188142,0.937576175
Cabo Verde,1998,1.15506649,,1.113963246,-0.454855204,0.672074854,0.934504032
Cabo Verde,2000,1.127157092,,1.223599792,-0.016364954,0.638421953,0.803981602
Cabo Verde,2002,0.495939344,-0.270427465,0.72962153,-0.259639919,0.267433614,0.691441357
Cabo Verde,2003,0.478955358,-0.282835037,0.918948591,-0.282602161,0.256376088,0.594847262
Cabo Verde,2004,0.338964373,-0.347772747,1.039301276,-0.462027729,0.341849148,0.649413288
Cabo Verde,2005,0.590595901,-0.236018777,0.754638612,-0.365165055,0.374146014,0.441597372
Cabo Verde,2006,0.838406205,-0.030686401,0.962325037,-0.287643552,0.640256405,0.782895863
Cabo Verde,2007,0.918705285,0.285647899,0.877260089,-0.326841533,0.610765517,0.863329768
Cabo Verde,2008,0.900168598,-0.029368326,0.813386321,-0.188693181,0.57134515,0.937762976
Cabo Verde,2009,0.892971933,-0.083516851,0.818449318,-0.05580043,0.532929718,0.891080618
Cabo Verde,2010,0.877152562,-0.100973316,0.840972781,-0.146439359,0.463277847,0.89467752
Cabo Verde,2011,0.924242795,0.079043373,0.722605228,0.000159229,0.506770432,0.970096409
Cabo Verde,2012,0.885680318,0.053191092,0.809086382,0.019716209,0.514070094,0.93871963
Cabo Verde,2013,0.851895511,0.041717578,0.777999878,-0.115504146,0.551252127,0.916024446
Cabo Verde,2014,0.97090441,0.037070904,0.350779146,-0.24127388,0.66221118,0.955262125
Cabo Verde,2015,0.951782465,0.19493103,0.867810428,-0.144566312,0.593374372,0.942406356
Cabo Verde,2016,0.862223923,0.137604639,0.886215627,-0.183302492,0.301762402,0.974187255
Cabo Verde,2017,0.82485795,0.174251601,0.774638414,-0.059173293,0.378697842,0.964152038
Cabo Verde,2018,0.786523998,0.355626673,0.845823169,-0.028914819,0.414056629,0.964887321
Cabo Verde,2019,0.87260592,0.291506767,0.873942554,-0.017360443,0.472124577,0.952357113
Cabo Verde,2020,0.867775917,0.226905838,0.887429535,0.168183818,0.457770258,0.917146564
Cabo Verde,2021,1.035422206,0.042736243,0.902458489,0.273635685,0.349308014,0.939017296
Cote d'Ivoire,1996,-0.260566831,-0.260978222,0.033416919,-0.398577005,-0.78543514,-0.583225548
Cote d'Ivoire,1998,-0.497031659,-0.233207598,-0.203814626,-0.285964251,-0.922914207,-0.63867718
Cote d'Ivoire,2000,-0.777199268,-1.007851839,-1.240804076,-0.554069459,-1.247669816,-0.932406247
Cote d'Ivoire,2002,-0.801531196,-0.941148579,-1.919733882,-0.420426428,-1.329227209,-1.067058325
Cote d'Ivoire,2003,-1.013844848,-1.123632669,-1.803262711,-0.751793325,-1.358520508,-1.154527545
Cote d'Ivoire,2004,-1.241323471,-1.273715019,-2.114921093,-1.032016993,-1.424531221,-1.219648838
Cote d'Ivoire,2005,-1.249787211,-1.344843984,-2.259528875,-0.955394089,-1.539367676,-1.294619322
Cote d'Ivoire,2006,-1.20752883,-1.156987906,-1.861868382,-0.928464115,-1.462903976,-1.27867806
Cote d'Ivoire,2007,-1.095069647,-1.215181589,-1.839572787,-0.881731987,-1.471718073,-1.202089906
Cote d'Ivoire,2008,-1.119051337,-1.250183105,-1.804067373,-0.929746807,-1.43818152,-1.167560339
Cote d'Ivoire,2009,-1.117385149,-1.121170759,-1.320862532,-0.972751558,-1.25304389,-1.064378977
Cote d'Ivoire,2010,-1.172854543,-1.29321754,-1.583894253,-0.926222563,-1.236002564,-1.048397303
Cote d'Ivoire,2011,-1.030993581,-1.17539227,-1.405807614,-0.889401078,-1.282681704,-1.081876755
Cote d'Ivoire,2012,-0.838509381,-1.11026895,-1.263461113,-0.77617842,-1.094172716,-0.777749956
Cote d'Ivoire,2013,-0.739937127,-0.93838346,-1.048724174,-0.753439784,-0.914480269,-0.75119108
Cote d'Ivoire,2014,-0.418946445,-0.858885229,-1.037160635,-0.618877172,-0.592921734,-0.508077264
Cote d'Ivoire,2015,-0.439360917,-0.718897879,-0.832545936,-0.535886943,-0.636282027,-0.407607913
Cote d'Ivoire,2016,-0.532950342,-0.703345537,-0.907559335,-0.412956238,-0.648562431,-0.309734553
Cote d'Ivoire,2017,-0.527117908,-0.782439888,-1.090236783,-0.390498698,-0.633895099,-0.284231782
Cote d'Ivoire,2018,-0.503220081,-0.620790184,-0.898689389,-0.24416931,-0.587801456,-0.255671263
Cote d'Ivoire,2019,-0.538762808,-0.528571486,-1.026045561,-0.288290113,-0.58926332,-0.247607246
Cote d'Ivoire,2020,-0.525587261,-0.506700754,-1.030985951,-0.367474496,-0.625967979,-0.530700684
Cote d'Ivoire,2021,-0.371892631,-0.501908422,-0.952860296,-0.256431401,-0.633732677,-0.471079499
"Congo, Rep.",1996,-0.860740304,-1.169292927,-1.224944949,-1.227481484,-1.04381001,-0.827253401
"Congo, Rep.",1998,-1.198796749,-1.104274154,-1.50108397,-1.303277254,-1.618808627,-1.465101957
"Congo, Rep.",2000,-0.943886817,-1.150753498,-0.922982037,-1.203269839,-1.348498344,-1.430073023
"Congo, Rep.",2002,-1.009017944,-1.265289545,-1.587167978,-1.000559449,-1.290985346,-0.91310972
"Congo, Rep.",2003,-1.090136647,-1.189265966,-1.170220375,-1.166191697,-1.267970681,-0.827222049
"Congo, Rep.",2004,-1.03629005,-1.061163783,-1.190597773,-1.008587837,-1.190250158,-0.964100897
"Congo, Rep.",2005,-1.059439778,-1.276960731,-1.165839434,-1.298925042,-1.471203566,-1.079140425
"Congo, Rep.",2006,-1.108278513,-1.244367957,-0.923411787,-1.168881059,-1.266345739,-1.208369255
"Congo, Rep.",2007,-1.160955787,-1.328600883,-0.771577418,-1.172009587,-1.22322464,-1.233997226
"Congo, Rep.",2008,-1.193248868,-1.224764228,-0.721322358,-1.222556591,-1.193442583,-1.155456424
"Congo, Rep.",2009,-1.213840961,-1.216791391,-0.250487626,-1.280302286,-1.220139623,-1.104501486
"Congo, Rep.",2010,-1.157320261,-1.23538506,-0.316415846,-1.252167344,-1.218047857,-1.062741756
"Congo, Rep.",2011,-1.144993901,-1.20512259,-0.35430038,-1.25671804,-1.2075212,-1.107997775
"Congo, Rep.",2012,-1.229751229,-1.174452543,-0.489689857,-1.354313612,-1.142050862,-1.155133367
"Congo, Rep.",2013,-1.176573396,-1.158258438,-0.475050122,-1.353200316,-1.12112391,-1.117779613
"Congo, Rep.",2014,-1.199824452,-1.129546165,-0.359291583,-1.222189546,-1.119276404,-1.108119726
"Congo, Rep.",2015,-1.251138687,-1.050904751,-0.526365995,-1.256491542,-1.125181913,-1.016987562
"Congo, Rep.",2016,-1.210165262,-1.109113693,-0.519269526,-1.197329402,-1.139835835,-1.161321998
"Congo, Rep.",2017,-1.349830151,-1.222203732,-0.531724036,-1.399347663,-1.148452044,-1.122747183
"Congo, Rep.",2018,-1.359873056,-1.178696156,-0.348404229,-1.396577239,-1.121906281,-1.197816849
"Congo, Rep.",2019,-1.419934154,-1.390875697,-0.896963596,-1.340916276,-1.176690459,-1.2789886
"Congo, Rep.",2020,-1.441919923,-1.482904077,-0.810232341,-1.584772229,-1.157970309,-1.280054092
"Congo, Rep.",2021,-1.37306428,-1.551096678,-0.606616318,-1.354569435,-1.135856986,-1.238077641
"Congo, Dem. Rep.",1996,-1.647851944,-1.64999783,-2.682812929,-1.756226778,-1.87656343,-1.600948572
"Congo, Dem. Rep.",1998,-1.416679382,-1.731027842,-2.847851753,-2.096585751,-1.918398976,-1.728646636
"Congo, Dem. Rep.",2000,-1.459174871,-1.791944146,-2.474238157,-1.843161941,-1.820564389,-1.733551145
"Congo, Dem. Rep.",2002,-1.449970841,-1.841436386,-1.975927949,-1.705047011,-1.767720342,-1.609575033
"Congo, Dem. Rep.",2003,-1.526455402,-1.717788696,-2.02786994,-1.682577014,-1.850252748,-1.555048466
"Congo, Dem. Rep.",2004,-1.444693923,-1.429206729,-2.387764215,-1.668423772,-1.718435168,-1.697052956
"Congo, Dem. Rep.",2005,-1.443382263,-1.570344925,-2.128561497,-1.6125772,-1.544528484,-1.521638393
"Congo, Dem. Rep.",2006,-1.540507793,-1.563937306,-2.246732235,-1.269039035,-1.621696711,-1.23079133
"Congo, Dem. Rep.",2007,-1.381071568,-1.739302635,-2.178499937,-1.255248904,-1.614736915,-1.211480737
"Congo, Dem. Rep.",2008,-1.261194229,-1.643810987,-2.003076315,-1.28233397,-1.573676467,-1.387891054
"Congo, Dem. Rep.",2009,-1.41292572,-1.655371785,-2.000982761,-1.513494611,-1.644039631,-1.409386635
"Congo, Dem. Rep.",2010,-1.457886696,-1.72185111,-2.196742058,-1.548083067,-1.62714994,-1.409102082
"Congo, Dem. Rep.",2011,-1.457506299,-1.683877468,-2.21298933,-1.502857208,-1.625537157,-1.48515594
"Congo, Dem. Rep.",2012,-1.329710841,-1.645317078,-2.085892916,-1.479630232,-1.662914276,-1.481081605
"Congo, Dem. Rep.",2013,-1.338081479,-1.467610121,-2.192190647,-1.260716438,-1.584831834,-1.458554029
"Congo, Dem. Rep.",2014,-1.320770741,-1.565615535,-2.167921305,-1.373449683,-1.462760568,-1.286945939
"Congo, Dem. Rep.",2015,-1.291258812,-1.602173805,-2.150854349,-1.336872458,-1.590687394,-1.304217577
"Congo, Dem. Rep.",2016,-1.348747492,-1.521072507,-2.234621525,-1.311466455,-1.640506625,-1.412190676
"Congo, Dem. Rep.",2017,-1.42861712,-1.634873986,-2.302248716,-1.467065573,-1.705661535,-1.465298414
"Congo, Dem. Rep.",2018,-1.50056076,-1.539629221,-2.105781078,-1.465462565,-1.79496181,-1.507610798
"Congo, Dem. Rep.",2019,-1.539865613,-1.618209124,-1.593898892,-1.499777913,-1.798251152,-1.313972831
"Congo, Dem. Rep.",2020,-1.57467711,-1.714080572,-1.742298007,-1.491251826,-1.8020823,-1.26542902
"Congo, Dem. Rep.",2021,-1.552153826,-1.71887815,-1.614666939,-1.422889113,-1.70383513,-1.198188782
Equatorial Guinea,1996,-1.264369369,-0.958404481,-0.131352261,-1.43762958,-1.283217788,-1.524699688
Equatorial Guinea,1998,-1.187924623,-1.041311145,-0.080597825,-1.630005002,-1.352814674,-1.561029911
Equatorial Guinea,2000,-1.212374926,-1.061323404,-0.035038944,-1.646770358,-1.3358922,-1.599229217
Equatorial Guinea,2002,-1.222882509,-1.142499089,-0.514396369,-1.486513615,-1.244333625,-1.623729467
Equatorial Guinea,2003,-1.2759372,-1.10543251,0.114630744,-1.43353641,-1.2268852,-1.663450122
Equatorial Guinea,2004,-1.380372643,-1.192414999,-0.059478026,-1.558325887,-1.196568251,-1.638940096
Equatorial Guinea,2005,-1.426847577,-1.186115861,-0.386098802,-1.468349099,-1.238877058,-1.683500171
Equatorial Guinea,2006,-1.362626076,-1.274416566,0.1687904,-1.50492835,-1.093562722,-1.826265454
Equatorial Guinea,2007,-1.212375522,-1.271917224,0.256654739,-1.452512741,-0.98628068,-1.887979507
Equatorial Guinea,2008,-1.198916078,-1.262619138,0.207544371,-1.445690989,-0.87139225,-1.894067049
Equatorial Guinea,2009,-1.220263124,-1.256798506,0.3733024,-1.471023321,-0.98819977,-1.806868672
Equatorial Guinea,2010,-1.234830737,-1.256386757,0.236128226,-1.548465967,-1.010709286,-1.860194325
Equatorial Guinea,2011,-1.22866559,-1.258116364,0.150343806,-1.487338662,-1.008374453,-1.899613738
Equatorial Guinea,2012,-1.239950657,-1.253810763,0.232703447,-1.600315809,-1.049776435,-1.905040979
Equatorial Guinea,2013,-1.315580368,-1.355711818,0.120355181,-1.543533206,-1.168726563,-1.96989131
Equatorial Guinea,2014,-1.540296793,-1.162644029,-0.374146551,-1.465663552,-1.317287445,-1.975196362
Equatorial Guinea,2015,-1.552454829,-1.143215537,-0.205352426,-1.462549329,-1.321108341,-1.999269724
Equatorial Guinea,2016,-1.585631013,-1.127995968,-0.140868634,-1.545290232,-1.38386631,-1.94751513
Equatorial Guinea,2017,-1.627693415,-1.139552832,-0.170453146,-1.553122759,-1.359813333,-1.97092557
Equatorial Guinea,2018,-1.522515178,-1.168566823,-0.092380151,-1.635661602,-1.414509535,-1.87539947
Equatorial Guinea,2019,-1.545618653,-1.016508102,-0.156219751,-1.671925664,-1.279205203,-1.879902482
Equatorial Guinea,2020,-1.519282579,-1.190465212,-0.23432599,-1.695083618,-1.164877892,-1.81125927
Equatorial Guinea,2021,-1.567582011,-1.15928483,-0.286741406,-1.712811947,-1.19723165,-1.717381835
Ghana,1996,-0.339949548,-0.119933769,-0.234503835,-0.343818367,-0.23357825,-0.207235247
Ghana,1998,-0.32974261,-0.219085738,-0.136477411,-0.220613942,-0.439805567,-0.187200338
Ghana,2000,-0.095986165,0.033526257,-0.359381735,-0.001808004,0.078732707,0.07062351
Ghana,2002,-0.342790067,-0.088578701,-0.159934327,-0.508185565,0.023213815,0.028416518
Ghana,2003,-0.311426789,-0.296098858,0.029186578,-0.280945212,0.007860686,0.271764487
Ghana,2004,-0.279528439,-0.356408417,0.040790971,-0.380256206,-0.126287416,0.11770542
Ghana,2005,-0.3687464,-0.215351611,0.169719294,-0.183413431,-0.134525463,0.197485223
Ghana,2006,-0.014181604,0.025103601,0.006396186,-0.107713647,0.056496635,0.407593399
Ghana,2007,0.038147695,0.085353352,-0.073061265,-0.11200542,0.039233431,0.497320414
Ghana,2008,-0.077458486,-0.033038545,-0.029515961,-0.111344561,-0.062382013,0.431884378
Ghana,2009,-0.009987613,-0.127614856,0.027835818,0.037200317,-0.042356919,0.498016387
Ghana,2010,0.014280469,-0.105485797,0.026093241,0.053548459,-0.033293352,0.514764845
Ghana,2011,-0.029126318,-0.092944771,0.167112142,0.08171653,-0.003144076,0.484657794
Ghana,2012,-0.126568556,-0.092501223,0.130694985,0.098503292,0.016669463,0.431352198
Ghana,2013,-0.096591435,-0.136944935,0.060606085,0.06181078,0.15427576,0.438854575
Ghana,2014,-0.194918543,-0.311548889,-0.106807962,-0.047670737,0.063672259,0.461645961
Ghana,2015,-0.186141491,-0.288247645,-0.032099333,-0.090659901,0.138806775,0.488428712
Ghana,2016,-0.155562237,-0.222265705,-0.130928621,-0.289217651,0.050368041,0.583630621
Ghana,2017,-0.229119286,-0.162351951,0.0918345,-0.17200318,0.128546864,0.596758425
Ghana,2018,-0.11501845,-0.297320187,-0.025516771,-0.132535592,0.06999515,0.549476922
Ghana,2019,-0.087775491,-0.265315861,0.134411946,-0.169835433,0.037778921,0.549909234
Ghana,2020,-0.105029307,-0.165586546,0.184312224,-0.117155604,-0.05207159,0.554172695
Ghana,2021,-0.106090412,-0.149478808,0.066447861,-0.200255007,-0.081007682,0.467349112
Gabon,1996,-1.102376938,-0.199152008,0.125683025,0.135673851,-0.65305227,-0.321172208
Gabon,1998,-0.995287538,-0.462085247,0.325020939,0.335129142,-0.370705366,-0.391127527
Gabon,2000,-0.592371881,-0.484881252,0.640210629,0.069171943,-0.182711691,-0.470682234
Gabon,2002,-0.520378828,-0.282606691,0.410248697,-0.078409515,-0.249034658,-0.526887536
Gabon,2003,-0.553776979,-0.425147951,0.299038559,-0.058016263,-0.406030953,-0.662809372
Gabon,2004,-0.826650083,-0.849554956,0.408170909,-0.430164129,-0.48354283,-0.780080676
Gabon,2005,-0.660073698,-0.836226702,0.325625747,-0.060104385,-0.396706045,-0.82700175
Gabon,2006,-1.083067894,-0.835981369,0.220006227,-0.301130533,-0.75450623,-0.950213253
Gabon,2007,-1.166331768,-0.833478212,0.302844584,-0.382520467,-0.706393182,-0.866477549
Gabon,2008,-1.16565454,-0.900767446,0.261874706,-0.560679853,-0.62444061,-0.845180631
Gabon,2009,-1.077147484,-0.76251483,0.140438765,-0.477560759,-0.503719747,-0.971218228
Gabon,2010,-0.905257821,-0.796213508,0.299279243,-0.435533315,-0.461410344,-0.865145206
Gabon,2011,-0.893178523,-0.847696006,0.384890914,-0.45647487,-0.403134197,-0.905199349
Gabon,2012,-0.666252255,-0.961442292,0.29329142,-0.532351732,-0.414806485,-0.863606691
Gabon,2013,-0.634198666,-0.869095206,0.330102742,-0.614103138,-0.522406638,-0.863369942
Gabon,2014,-0.67763567,-0.606391788,0.149542809,-0.693132579,-0.472979218,-0.866108179
Gabon,2015,-0.700949013,-0.726703584,0.021186959,-0.7124089,-0.546785116,-0.894542098
Gabon,2016,-0.737772644,-0.799578965,-0.104910977,-0.70697397,-0.597633183,-0.968354881
Gabon,2017,-0.820386887,-0.974690497,-0.10302484,-0.696574032,-0.708992183,-1.060274363
Gabon,2018,-0.837908924,-0.802929819,-0.253804445,-0.874086499,-0.704611123,-0.966365576
Gabon,2019,-0.875252843,-0.935714185,-0.07426174,-0.941352606,-0.738471806,-1.042916536
Gabon,2020,-0.871859968,-0.967587471,-0.06814003,-0.866582453,-0.669747114,-0.979684055
Gabon,2021,-0.850754976,-0.7835868,-0.08597564,-0.808025301,-0.695860267,-0.894207716
"Gambia, The",1996,-0.374195218,-0.619082868,0.559609056,-0.841568291,0.0169813,-1.274816751
"Gambia, The",1998,-0.364895523,-0.477520347,0.675648868,-0.690857768,-0.002620436,-0.915815294
"Gambia, The",2000,-0.377791107,-0.50956285,0.533818603,-0.434178412,-0.145569503,-1.064674616
"Gambia, The",2002,-0.233312801,-0.619889736,0.826159775,-0.527075648,-0.180294082,-0.670977175
"Gambia, The",2003,-0.176545039,-0.419529736,0.322430104,-0.474271208,0.163011163,-0.489668667
"Gambia, The",2004,-0.522410035,-0.593214571,0.164906055,-0.517802238,-0.389444947,-0.674434602
"Gambia, The",2005,-0.694694996,-0.72345221,0.200640664,-0.614453137,-0.456847787,-1.015846252
"Gambia, The",2006,-0.729944289,-0.729389369,-0.034124114,-0.483886421,-0.37112534,-0.89695102
"Gambia, The",2007,-0.712738216,-0.614818096,0.047412302,-0.485150635,-0.330507666,-0.891591012
"Gambia, The",2008,-0.714707136,-0.769249082,0.065151274,-0.493136615,-0.425357461,-0.865504682
"Gambia, The",2009,-0.557290554,-0.743635356,0.122316822,-0.412360966,-0.519139886,-1.012210608
"Gambia, The",2010,-0.587572575,-0.747328877,0.065416984,-0.480537474,-0.570687115,-1.075464487
"Gambia, The",2011,-0.513804793,-0.673879147,-0.000270605,-0.351987541,-0.558868945,-1.215479136
"Gambia, The",2012,-0.65323174,-0.575523317,-0.000778838,-0.257835358,-0.59986788,-1.287478089
"Gambia, The",2013,-0.706011951,-0.739737511,-0.048636407,-0.377716362,-0.64948678,-1.257354021
"Gambia, The",2014,-0.69398278,-0.719586492,-0.151400715,-0.498851091,-0.696619987,-1.267609835
"Gambia, The",2015,-0.797295094,-0.954917192,0.019588569,-0.561227441,-0.735364079,-1.4596771
"Gambia, The",2016,-0.83552736,-0.902069211,-0.434412301,-0.57076776,-0.788988173,-1.260490179
"Gambia, The",2017,-0.639375508,-0.717804849,-0.084012918,-0.495048761,-0.437450022,-0.622011125
"Gambia, The",2018,-0.47828269,-0.731363714,-0.074431002,-0.659789145,-0.438705802,-0.22209242
"Gambia, The",2019,-0.386162162,-0.741122901,0.224721387,-0.701143265,-0.388973624,-0.250296623
"Gambia, The",2020,-0.402043223,-0.754498005,0.256434143,-0.743719399,-0.376099765,-0.199840665
"Gambia, The",2021,-0.358450145,-0.638483942,0.175200671,-0.873302341,-0.38554275,-0.102891244
Guinea-Bissau,1996,-1.194654822,-1.409645319,-1.540016651,-0.83420229,-1.67290616,-0.972923279
Guinea-Bissau,1998,-1.122083426,-1.290109992,-1.860767245,-1.219323277,-1.880132079,-0.943927407
Guinea-Bissau,2000,-0.915324807,-0.966977537,-0.349449873,-1.045960665,-1.319461226,-0.638303697
Guinea-Bissau,2002,-1.044214368,-1.060361862,-0.726157308,-0.881491482,-1.107601404,-0.658738375
Guinea-Bissau,2003,-1.127326012,-1.189265966,-0.494184494,-0.850086212,-1.226374745,-1.065574169
Guinea-Bissau,2004,-1.27454555,-1.347278833,-0.378061444,-1.188359499,-1.1984483,-0.842662632
Guinea-Bissau,2005,-1.174984336,-1.36573565,-0.562525928,-1.124477863,-1.259566665,-0.484425157
Guinea-Bissau,2006,-1.095482945,-1.131515384,-0.494073361,-0.980062366,-1.256101966,-0.628867745
Guinea-Bissau,2007,-1.204945683,-1.104709148,-0.460553706,-1.135290623,-1.325372577,-0.712383568
Guinea-Bissau,2008,-1.200396061,-1.064276099,-0.709455967,-1.197473884,-1.406033039,-0.715373158
Guinea-Bissau,2009,-1.21717298,-1.051625252,-0.665870845,-1.195079803,-1.347027421,-0.759196937
Guinea-Bissau,2010,-1.161557078,-1.070591688,-0.690954328,-1.123641849,-1.336950183,-0.822992086
Guinea-Bissau,2011,-1.186045289,-1.075903177,-0.753625989,-1.124466658,-1.323492527,-0.85343945
Guinea-Bissau,2012,-1.293287516,-1.292324066,-0.965295851,-1.228919864,-1.542393088,-1.325705886
